conciseness,local_fidelity,local_concordance,prescriptivity,robustness,dataset,name,index
0.5923736333358417,0.9688211071482518,0.9483009876161757,0.986014332837552,0.9002975628693018,Flowers,SHIELD,0
0.57523793853584,0.970055686250654,0.9502144221855552,0.9861203729408704,0.9002975628693018,Flowers,SHIELD,0
0.6214032088176767,0.9716539578613438,0.9535864545129752,0.9828340813211676,0.9002975628693018,Flowers,SHIELD,0
0.6562003056050612,0.968553154752022,0.948587915745283,0.9868660209758318,0.9002975628693018,Flowers,SHIELD,0
0.5552714577375946,0.9667481276293683,0.9443049337371124,0.9885161219474412,0.9002975628693018,Flowers,SHIELD,0
0.7182547011618416,0.9742891905921194,0.9556351062401314,0.9839456677150216,0.9059155120598912,Flowers,SHIELD,1
0.6973977983522384,0.970710171201617,0.9509229269267824,0.9809297352498648,0.9059155120598912,Flowers,SHIELD,1
0.6906741832530927,0.975696911977956,0.957971478946552,0.9801832940124068,0.9059155120598912,Flowers,SHIELD,1
0.6876136998261765,0.9636204580569904,0.9384026403493996,0.9784758483678418,0.9059155120598912,Flowers,SHIELD,1
0.6683014789590239,0.9743794040360588,0.956623424764216,0.981829861112568,0.9059155120598912,Flowers,SHIELD,1
0.5343392776373067,0.989057374314608,0.9920103564450647,0.993146651972461,0.9035056820353504,Flowers,SHIELD,2
0.5487643491084041,0.9884131176399752,0.991489513154072,0.9925712562874052,0.9035056820353504,Flowers,SHIELD,2
0.5682473148870478,0.9891823425120668,0.9926557742487372,0.9913116984706704,0.9035056820353504,Flowers,SHIELD,2
0.5362870501265588,0.9898910197101564,0.9934277408814918,0.9922590343348926,0.9035056820353504,Flowers,SHIELD,2
0.5424547551785158,0.9918590159784442,0.9947510657275892,0.9944212444237964,0.9035056820353504,Flowers,SHIELD,2
0.5442126322498111,0.9862584481304548,0.9845888494108013,0.9857045741736891,0.9033490501901318,Flowers,SHIELD,3
0.5208497765285782,0.986703717710574,0.9868567240319701,0.9831065729466607,0.9033490501901318,Flowers,SHIELD,3
0.5368382921884305,0.9864758721359006,0.9849109541415875,0.9810070500170707,0.9033490501901318,Flowers,SHIELD,3
0.5527694921408641,0.986592327315467,0.9852898665214479,0.9797837237220154,0.9033490501901318,Flowers,SHIELD,3
0.4932754247471547,0.9870792268413657,0.9865641182827593,0.9829076926508371,0.9033490501901318,Flowers,SHIELD,3
